Item No,Name,Base,Rubber Mount,Qty of Mounts,Pump List,Pump Nett,IP-56 Nett,IP-66 Nett,Base Nett,Rubber Mount Nett
96501220,CR 10-12,,,," $4,765.00 "," $2,382.50 ",,,, $11.83 
96501221,CR 10-14,,,," $5,554.00 "," $2,777.00 ",,,, $11.83 
96501222,CR 10-16,,,," $5,896.00 "," $2,948.00 ",,,, $11.83 
96501223,CR 10-18,,,," $6,405.00 "," $3,202.50 ",,,, $11.83 
96501224,CR 10-20,,,," $6,742.00 "," $3,371.00 ",,,, $11.83 
96501225,CR 10-22,,,," $7,083.00 "," $3,541.50 ",,,, $11.83 
96501697,CR 15-1,,,," $2,622.00 "," $1,311.00 ",,,, $11.83 
96501698,CR 15-2,,,," $3,305.00 "," $1,652.50 ",,,, $11.83 
96501699,CR 15-3,,,," $3,820.00 "," $1,910.00 ",,,, $11.83 
96501895,CR 15-4,,,," $4,437.00 "," $2,218.50 ",,,, $11.83 
96501896,CR 15-5,,,," $4,657.00 "," $2,328.50 ",,,, $11.83 
96501897,CR 15-6,,,," $5,541.00 "," $2,770.50 ",,,, $11.83 
96501898,CR 15-7,,,," $5,761.00 "," $2,880.50 ",,,, $11.83 
96501899,CR 15-8,,,," $6,704.00 "," $3,352.00 ",,,, $11.83 
96501900,CR 15-9,,,," $6,929.00 "," $3,464.50 ",,,, $11.83 
96501901,CR 15-10,,,," $8,141.00 "," $4,070.50 ",,,, $11.83 
96501902,CR 15-12,,,," $8,579.00 "," $4,289.50 ",,,, $11.83 
96501903,CR 15-14,,,," $9,025.00 "," $4,512.50 ",,,, $11.83 
96501904,CR 15-17,,,," $11,540.00 "," $5,770.00 ",,,, $11.83 
96509508,CR 3-5,,,," $1,505.00 ", $752.50 ,,,, $11.83 
96511750,CR 5-8,,,," $2,071.00 "," $1,035.50 ",,,, $11.83 
96513381,CR 5-22,,,," $3,618.00 "," $1,809.00 ",,,, $11.83 
96513390,CR 5-24,,,," $3,770.00 "," $1,885.00 ",,,, $11.83 
96513391,CR 5-26,,,," $3,928.00 "," $1,964.00 ",,,, $11.83 
96513392,CR 5-29,,,," $4,156.00 "," $2,078.00 ",,,, $11.83 
96513393,CR 5-32,,,," $4,727.00 "," $2,363.50 ",,,, $11.83 
96513394,CR 5-36,,,," $5,028.00 "," $2,514.00 ",,,, $11.83 
96515537,CR 1S-2,,,," $1,238.00 ", $619.00 ,,,, $11.83 
96515549,CR 1S-3,,,," $1,285.00 ", $642.50 ,,,, $11.83 
96515551,CR 1S-4,,,," $1,334.00 ", $667.00 ,,,, $11.83 
96515552,CR 1S-5,,,," $1,380.00 ", $690.00 ,,,, $11.83 
96515553,CR 1S-6,,,," $1,428.00 ", $714.00 ,,,, $11.83 
96515555,CR 1S-7,,,," $1,475.00 ", $737.50 ,,,, $11.83 
96515557,CR 1S-8,,,," $1,523.00 ", $761.50 ,,,, $11.83 
96515558,CR 1S-9,,,," $1,571.00 ", $785.50 ,,,, $11.83 
96515560,CR 1S-10,,,," $1,618.00 ", $809.00 ,,,, $11.83 
96515561,CR 1S-11,,,," $1,666.00 ", $833.00 ,,,, $11.83 
96515562,CR 1S-12,,,," $1,712.00 ", $856.00 ,,,, $11.83 
96515563,CR 1S-13,,,," $1,759.00 ", $879.50 ,,,, $11.83 
96515564,CR 1S-15,,,," $1,833.00 ", $916.50 ,,,, $11.83 
96515565,CR 1S-17,,,," $1,954.00 ", $977.00 ,,,, $11.83 
96515566,CR 1S-19,,,," $2,075.00 "," $1,037.50 ",,,, $11.83 
96515567,CR 1S-21,,,," $2,286.00 "," $1,143.00 ",,,, $11.83 
96515568,CR 1S-23,,,," $2,406.00 "," $1,203.00 ",,,, $11.83 
96515569,CR 1S-25,,,," $2,529.00 "," $1,264.50 ",,,, $11.83 
96515570,CR 1S-27,,,," $2,675.00 "," $1,337.50 ",,,, $11.83 
96515647,CR 1S-2,,,," $1,323.00 ", $661.50 ,,,, $11.83 
96515649,CR 1S-3,,,," $1,371.00 ", $685.50 ,,,, $11.83 
96515650,CR 1S-4,,,," $1,419.00 ", $709.50 ,,,, $11.83 
96515652,CR 1S-5,,,," $1,465.00 ", $732.50 ,,,, $11.83 
96515654,CR 1S-6,,,," $1,513.00 ", $756.50 ,,,, $11.83 
96515655,CR 1S-7,,,," $1,560.00 ", $780.00 ,,,, $11.83 
96515656,CR 1S-8,,,," $1,608.00 ", $804.00 ,,,, $11.83 
96515657,CR 1S-9,,,," $1,656.00 ", $828.00 ,,,, $11.83 
96515658,CR 1S-10,,,," $1,703.00 ", $851.50 ,,,, $11.83 
96515660,CR 1S-11,,,," $1,751.00 ", $875.50 ,,,, $11.83 
96515661,CR 1S-12,,,," $1,798.00 ", $899.00 ,,,, $11.83 
96515663,CR 1S-13,,,," $1,845.00 ", $922.50 ,,,, $11.83 
96515664,CR 1S-15,,,," $1,920.00 ", $960.00 ,,,, $11.83 
96515666,CR 1S-17,,,," $2,040.00 "," $1,020.00 ",,,, $11.83 
96515668,CR 1S-19,,,," $2,160.00 "," $1,080.00 ",,,, $11.83 
96515670,CR 1S-21,,,," $2,373.00 "," $1,186.50 ",,,, $11.83 
96515671,CR 1S-23,,,," $2,492.00 "," $1,246.00 ",,,, $11.83 
96515672,CR 1S-25,,,," $2,613.00 "," $1,306.50 ",,,, $11.83 
96515673,CR 1S-27,,,," $2,762.00 "," $1,381.00 ",,,, $11.83 
96515675,CR 1S-30,,,," $2,948.00 "," $1,474.00 ",,,, $11.83 
96515676,CR 1S-33,,,," $3,129.00 "," $1,564.50 ",,,, $11.83 
96515677,CR 1S-36,,,," $3,308.00 "," $1,654.00 ",,,, $11.83 
96516169,CR 1-2,,,," $1,294.00 ", $647.00 ,,,, $11.83 
96516170,CR 1-3,,,," $1,343.00 ", $671.50 ,,,, $11.83 
96516172,CR 1-4,,,," $1,393.00 ", $696.50 ,,,, $11.83 
96516173,CR 1-5,,,," $1,443.00 ", $721.50 ,,,, $11.83 
96516174,CR 1-6,,,," $1,494.00 ", $747.00 ,,,, $11.83 
96516176,CR 1-7,,,," $1,544.00 ", $772.00 ,,,, $11.83 
96516177,CR 1-8,,,," $1,583.00 ", $791.50 ,,,, $11.83 
96516178,CR 1-9,,,," $1,616.00 ", $808.00 ,,,, $11.83 
96516180,CR 1-10,,,," $1,694.00 ", $847.00 ,,,, $11.83 
96516181,CR 1-11,,,," $1,771.00 ", $885.50 ,,,, $11.83 
96516183,CR 1-12,,,," $1,849.00 ", $924.50 ,,,, $11.83 
96516185,CR 1-13,,,," $1,921.00 ", $960.50 ,,,, $11.83 
96516186,CR 1-15,,,," $2,076.00 "," $1,038.00 ",,,, $11.83 
96516188,CR 1-17,,,," $2,216.00 "," $1,108.00 ",,,, $11.83 
96516190,CR 1-19,,,," $2,371.00 "," $1,185.50 ",,,, $11.83 
96516192,CR 1-21,,,," $2,526.00 "," $1,263.00 ",,,, $11.83 
96516193,CR 1-23,,,," $2,688.00 "," $1,344.00 ",,,, $11.83 
96516239,CR 1-2,,,," $1,384.00 ", $692.00 ,,,, $11.83 
96516240,CR 1-3,,,," $1,434.00 ", $717.00 ,,,, $11.83 
96516241,CR 1-4,,,," $1,483.00 ", $741.50 ,,,, $11.83 
96516242,CR 1-5,,,," $1,534.00 ", $767.00 ,,,, $11.83 
96516243,CR 1-6,,,," $1,584.00 ", $792.00 ,,,, $11.83 
96516244,CR 1-7,,,," $1,634.00 ", $817.00 ,,,, $11.83 
96516245,CR 1-8,,,," $1,673.00 ", $836.50 ,,,, $11.83 
96516246,CR 1-10,,,," $1,784.00 ", $892.00 ,,,, $11.83 
96516247,CR 1-11,,,," $1,861.00 ", $930.50 ,,,, $11.83 
96516248,CR 1-12,,,," $1,939.00 ", $969.50 ,,,, $11.83 
96516249,CR 1-13,,,," $2,011.00 "," $1,005.50 ",,,, $11.83 
96516250,CR 1-15,,,," $2,166.00 "," $1,083.00 ",,,, $11.83 
96516251,CR 1-17,,,," $2,306.00 "," $1,153.00 ",,,, $11.83 
96516252,CR 1-19,,,," $2,461.00 "," $1,230.50 ",,,, $11.83 
96516253,CR 1-21,,,," $2,617.00 "," $1,308.50 ",,,, $11.83 
96516254,CR 1-23,,,," $2,778.00 "," $1,389.00 ",,,, $11.83 
96516255,CR 1-25,,,," $3,071.00 "," $1,535.50 ",,,, $11.83 
96516256,CR 1-27,,,," $3,225.00 "," $1,612.50 ",,,, $11.83 
96516257,CR 1-30,,,," $3,465.00 "," $1,732.50 ",,,, $11.83 
96516258,CR 1-33,,,," $3,887.00 "," $1,943.50 ",,,, $11.83 
96516259,CR 1-36,,,," $4,126.00 "," $2,063.00 ",,,, $11.83 
96516590,CR 3-2,,,," $1,283.00 ", $641.50 ,,,, $11.83 
96516591,CR 3-3,,,," $1,355.00 ", $677.50 ,,,, $11.83 
96516592,CR 3-4,,,," $1,433.00 ", $716.50 ,,,, $11.83 
96516593,CR 3-6,,,," $1,544.00 ", $772.00 ,,,, $11.83 
96516594,CR 3-7,,,," $1,620.00 ", $810.00 ,,,, $11.83 
96516595,CR 3-8,,,," $1,721.00 ", $860.50 ,,,, $11.83 
96516596,CR 3-9,,,," $1,799.00 ", $899.50 ,,,, $11.83 
96516597,CR 3-10,,,," $1,878.00 ", $939.00 ,,,, $11.83 
96516598,CR 3-11,,,," $1,988.00 ", $994.00 ,,,, $11.83 
96516599,CR 3-12,,,," $2,066.00 "," $1,033.00 ",,,, $11.83 
96516600,CR 3-13,,,," $2,143.00 "," $1,071.50 ",,,, $11.83 
96516601,CR 3-15,,,," $2,304.00 "," $1,152.00 ",,,, $11.83 
96516602,CR 3-17,,,," $2,627.00 "," $1,313.50 ",,,, $11.83 
96516603,CR 3-19,,,," $2,788.00 "," $1,394.00 ",,,, $11.83 
96516604,CR 3-21,,,," $2,860.00 "," $1,430.00 ",,,, $11.83 
96516605,CR 3-23,,,," $3,021.00 "," $1,510.50 ",,,, $11.83 
96516649,CR 3-2,,,," $1,373.00 ", $686.50 ,,,, $11.83 
96516650,CR 3-3,,,," $1,445.00 ", $722.50 ,,,, $11.83 
96516651,CR 3-4,,,," $1,523.00 ", $761.50 ,,,, $11.83 
96516652,CR 3-5,,,," $1,595.00 ", $797.50 ,,,, $11.83 
96516653,CR 3-6,,,," $1,634.00 ", $817.00 ,,,, $11.83 
96516654,CR 3-7,,,," $1,711.00 ", $855.50 ,,,, $11.83 
96516655,CR 3-8,,,," $1,811.00 ", $905.50 ,,,, $11.83 
96516656,CR 3-9,,,," $1,889.00 ", $944.50 ,,,, $11.83 
96516657,CR 3-10,,,," $1,968.00 ", $984.00 ,,,, $11.83 
96516658,CR 3-11,,,," $2,079.00 "," $1,039.50 ",,,, $11.83 
96516659,CR 3-12,,,," $2,156.00 "," $1,078.00 ",,,, $11.83 
96516660,CR 3-13,,,," $2,233.00 "," $1,116.50 ",,,, $11.83 
96516661,CR 3-15,,,," $2,395.00 "," $1,197.50 ",,,, $11.83 
96516662,CR 3-17,,,," $2,717.00 "," $1,358.50 ",,,, $11.83 
96516663,CR 3-19,,,," $2,878.00 "," $1,439.00 ",,,, $11.83 
96516664,CR 3-21,,,," $2,950.00 "," $1,475.00 ",,,, $11.83 
96516665,CR 3-23,,,," $3,111.00 "," $1,555.50 ",,,, $11.83 
96516666,CR 3-25,,,," $3,254.00 "," $1,627.00 ",,,, $11.83 
96516667,CR 3-27,,,," $3,409.00 "," $1,704.50 ",,,, $11.83 
96516668,CR 3-29,,,," $3,571.00 "," $1,785.50 ",,,, $11.83 
96516669,CR 3-31,,,," $3,748.00 "," $1,874.00 ",,,, $11.83 
96516670,CR 3-33,,,," $3,904.00 "," $1,952.00 ",,,, $11.83 
96516671,CR 3-36,,,," $4,142.00 "," $2,071.00 ",,,, $11.83 
96516975,CR 5-2,,,," $1,462.00 ", $731.00 ,,,, $11.83 
96516976,CR 5-3,,,," $1,532.00 ", $766.00 ,,,, $11.83 
96516977,CR 5-4,,,," $1,652.00 ", $826.00 ,,,, $11.83 
96516978,CR 5-5,,,," $1,776.00 ", $888.00 ,,,, $11.83 
96516979,CR 5-6,,,," $1,837.00 ", $918.50 ,,,, $11.83 
96516990,CR 5-7,,,," $1,912.00 ", $956.00 ,,,, $11.83 
96516991,CR 5-8,,,," $1,982.00 ", $991.00 ,,,, $11.83 
96516992,CR 5-9,,,," $2,276.00 "," $1,138.00 ",,,, $11.83 
96516993,CR 5-10,,,," $2,352.00 "," $1,176.00 ",,,, $11.83 
96516994,CR 5-11,,,," $2,564.00 "," $1,282.00 ",,,, $11.83 
96516995,CR 5-12,,,," $2,641.00 "," $1,320.50 ",,,, $11.83 
96516996,CR 5-13,,,," $2,716.00 "," $1,358.00 ",,,, $11.83 
96516997,CR 5-14,,,," $2,796.00 "," $1,398.00 ",,,, $11.83 
96516998,CR 5-15,,,," $2,874.00 "," $1,437.00 ",,,, $11.83 
96516999,CR 5-16,,,," $2,950.00 "," $1,475.00 ",,,, $11.83 
96517000,CR 5-18,,,," $3,286.00 "," $1,643.00 ",,,, $11.83 
96517001,CR 5-20,,,," $3,439.00 "," $1,719.50 ",,,, $11.83 
96517037,CR 5-2,,,," $1,549.00 ", $774.50 ,,,, $11.83 
96517038,CR 5-3,,,," $1,620.00 ", $810.00 ,,,, $11.83 
96517039,CR 5-4,,,," $1,740.00 ", $870.00 ,,,, $11.83 
96517040,CR 5-5,,,," $1,865.00 ", $932.50 ,,,, $11.83 
96517041,CR 5-6,,,," $1,925.00 ", $962.50 ,,,, $11.83 
96517042,CR 5-7,,,," $2,001.00 "," $1,000.50 ",,,, $11.83 
96517043,CR 5-9,,,," $2,364.00 "," $1,182.00 ",,,, $11.83 
96517044,CR 5-10,,,," $2,440.00 "," $1,220.00 ",,,, $11.83 
96517045,CR 5-11,,,," $2,652.00 "," $1,326.00 ",,,, $11.83 
96517046,CR 5-12,,,," $2,729.00 "," $1,364.50 ",,,, $11.83 
96517047,CR 5-13,,,," $2,804.00 "," $1,402.00 ",,,, $11.83 
96517048,CR 5-14,,,," $2,886.00 "," $1,443.00 ",,,, $11.83 
96517049,CR 5-15,,,," $2,962.00 "," $1,481.00 ",,,, $11.83 
96517050,CR 5-16,,,," $3,037.00 "," $1,518.50 ",,,, $11.83 
96517051,CR 5-18,,,," $3,373.00 "," $1,686.50 ",,,, $11.83 
96517052,CR 5-20,,,," $3,527.00 "," $1,763.50 ",,,, $11.83 
96578133,CR 5-22,,,," $3,618.00 "," $1,809.00 ",,,, $11.83 
98149308,CR 1-9,,,," $1,760.00 ", $880.00 ,,,, $11.83 
99141735,CR 95-1-1,,,," $6,478.00 "," $3,239.00 ",,,, $11.83 
99141736,CR 95-1,,,," $8,092.00 "," $4,046.00 ",,,, $11.83 
99141737,CR 95-2-2,,,," $10,596.00 "," $5,298.00 ",,,, $11.83 
99141738,CR 95-2,,,," $13,196.00 "," $6,598.00 ",,,, $11.83 
99141739,CR 95-3-2,,,," $15,460.00 "," $7,730.00 ",,,, $11.83 
99141740,CR 95-3,,,," $17,291.00 "," $8,645.50 ",,,, $11.83 
99141741,CR 95-4,,,," $18,543.00 "," $9,271.50 ",,,, $11.83 
99141742,CR 95-5,,,," $22,636.00 "," $11,318.00 ",,,, $11.83 
99142431,CR 125-1,,,," $11,052.00 "," $5,526.00 ",,,, $11.83 
99142432,CR 125-2-2,,,," $13,765.00 "," $6,882.50 ",,,, $11.83 
99142573,CR 125-2-1,,,," $16,127.00 "," $8,063.50 ",,,, $11.83 
99142574,CR 125-2,,,," $18,036.00 "," $9,018.00 ",,,, $11.83 
99143254,CR 155-1-1,,,," $11,103.00 "," $5,551.50 ",,,, $11.83 
99143255,CR 155-1,,,," $13,829.00 "," $6,914.50 ",,,, $11.83 
99143257,CR 155-2-2,,,," $18,119.00 "," $9,059.50 ",,,, $11.83 
99143711,CR 185-1-1,,,," $19,065.00 "," $9,532.50 ",,,, $11.83 
99143712,CR 185-1,,,," $20,926.00 "," $10,463.00 ",,,, $11.83 
99144179,CR 215-1-1,,,," $20,926.00 "," $10,463.00 ",,,, $11.83 
99744281,CR 95-7,,,," $30,335.00 "," $15,167.50 ",,,, $11.83 
99744904,CR 95-6,,,," $25,278.00 "," $12,639.00 ",,,, $11.83 
99748828,CR 95-8-2,,,," $32,562.00 "," $16,281.00 ",,,, $11.83 
99751479,CR 125-3-1,,,," $19,342.00 "," $9,671.00 ",,,, $11.83 
99751480,CR 125-3,,,," $19,973.00 "," $9,986.50 ",,,, $11.83 
99751482,CR 125-4-2,,,," $20,861.00 "," $10,430.50 ",,,, $11.83 
99751483,CR 125-4,,,," $26,409.00 "," $13,204.50 ",,,, $11.83 
99751486,CR 125-5,,,," $32,401.00 "," $16,200.50 ",,,, $11.83 
99751487,CR 155-2,,,," $17,990.00 "," $8,995.00 ",,,, $11.83 
99751488,CR 155-3-2,,,," $20,912.00 "," $10,456.00 ",,,, $11.83 
99751489,CR 155-3,,,," $26,474.00 "," $13,237.00 ",,,, $11.83 
99751490,CR 155-4-1,,,," $32,482.00 "," $16,241.00 ",,,, $11.83 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
